long	lat
-45.85417 -18.39583
-44.60417 -17.43750
-48.35417 -15.85417
-48.27083 -11.81250
-48.27083 -17.89583
-46.85417 -11.39583
-47.52083 -15.35417
-44.31250 -15.14583
-47.52083 -14.64583
-44.47917 -13.89583
-41.81250 -11.93750
-44.68750 -17.18750
-43.10417 -13.72917
-41.56250 -17.06250
-46.14583 -15.02083
-47.43750 -17.43750
-48.02083 -13.56250
-46.06250 -18.14583
-45.85417 -16.64583
-42.39583 -15.85417
-44.22917 -13.10417
-43.02083 -11.72917
-48.18750 -17.22917
-47.22917 -16.18750
-44.39583 -13.31250
-45.68750 -11.97917
-46.10417 -17.81250
-46.97917 -17.22917
-45.85417 -14.39583
-42.81250 -13.39583

